Tempo (ms);Trajetória 1;Trajetória 2
16776;-54.5406781514884;-74.9030711374545
16798;-54.5405627394606;-74.902756769551
16845;-54.5404395512233;-74.9024337570895
16871;-54.540312567086;-74.9021027800873
16925;-54.5401836930992;-74.9017666218239
16953;-54.5400517253358;-74.9014271036802
16981;-54.5399123546489;-74.901083547888
17019;-54.5397596018056;-74.9007338191662
17042;-54.5395889974284;-74.9003769130456
17081;-54.5394005269306;-74.9000156617639
17107;-54.5391985993542;-74.8996575878588
17135;-54.5389895914633;-74.8993128479102
17176;-54.5387798031533;-74.8989904083929
17214;-54.5385749492153;-74.8986951939615
17249;-54.5383803861097;-74.8984271653671
17282;-54.5382009561794;-74.8981808785769
17315;-54.5380399742814;-74.8979452998967
17340;-54.5378981935473;-74.8977049000089
17386;-54.5377730029074;-74.8974426446403
17431;-54.537657045894;-74.8971443296815
17461;-54.5375387247011;-74.8968041335298
17489;-54.5374071269745;-74.8964307624828
17518;-54.53725675753;-74.8960454877733
17542;-54.5370875758848;-74.89566678237
17577;-54.5369029677167;-74.8952966440528
17605;-54.5367080040423;-74.8949238615048
17637;-54.5365074813798;-74.8945373201182
17681;-54.5363046589674;-74.894133806118
17704;-54.5361015850856;-74.893716460153
17749;-54.5359002887541;-74.8932907444957
17788;-54.535704056155;-74.8928625104809
17810;-54.5355181583701;-74.8924377903706
17858;-54.5353489233652;-74.8920230676
17884;-54.5352006754648;-74.8916235599032
17921;-54.5350727764221;-74.8912383089496
17952;-54.5349599453487;-74.8908570598886
17983;-54.534855548509;-74.8904651637131
18018;-54.534754628967;-74.8900537738052
18046;-54.5346547783149;-74.8896255930475
18086;-54.5345553117952;-74.8891916109739
18110;-54.5344557395446;-74.8887631252547
18143;-54.5343541589331;-74.8883449767701
18185;-54.5342460651635;-74.8879340833103
18209;-54.5341242357807;-74.8875239504749
18264;-54.5339810148898;-74.887110012412
18300;-54.5338129586209;-74.8866910087123
18318;-54.5336234604993;-74.8862673462044
18352;-54.5334200252371;-74.8858392867028
18384;-54.5332097098613;-74.8854063605939
18423;-54.5329969937936;-74.8849678617121
18451;-54.5327838355286;-74.8845237219385
18482;-54.5325706078836;-74.8840758527695
18512;-54.5323576661145;-74.8836302224889
18546;-54.5321471734929;-74.8831990211139
18600;-54.5319445407695;-74.8828006251583
18608;-54.5317583118938;-74.8824544954245
18631;-54.5315956756291;-74.8821712881549
18683;-54.5314507077728;-74.8819393488493
18721;-54.5312866983578;-74.8817072505798
18750;-54.5310214540341;-74.8813703843978
18788;-54.5305324256998;-74.8807823222482
18813;-54.529705876304;-74.8798157817167
18843;-54.5285587836714;-74.8784970455356
18872;-54.5274488277505;-74.8772252832011
18902;-54.5273317223119;-74.8770332802402
18950;-54.5299077634456;-74.8797225391292
18975;-54.537324773538;-74.8875240507161
18997;-54.5509345915529;-74.9017644758255
19030;-54.5686074397176;-74.9200320526348
19065;-54.5806009294304;-74.931865679881
19101;-54.5653453736996;-74.9144441230668
19134;-54.4889894588309;-74.8323651929737
19177;-54.3137686341963;-74.6469542360071
19218;-54.0146842805325;-74.3333709595591
19249;-53.5920052039674;-73.8918513618266
19281;-53.0660963139512;-73.3433141496791
19316;-52.4614800946435;-72.7157614177635
19354;-51.7975776647368;-72.0329403946709
19388;-51.0873099315362;-71.3112567884349
19412;-50.3375844967712;-70.5612925347649
19452;-49.5535185817862;-69.7870250554338
19477;-48.7437619700133;-68.9871055674755
19510;-47.9187340521918;-68.1622268168731
19540;-47.0847365080371;-67.3188181496041
19578;-46.2432030320193;-66.464511452432
19622;-45.3937584412732;-65.6048299607762
19645;-44.5358760975223;-64.7449764214403
19678;-43.6703709445256;-63.8898326723834
19711;-42.8009295266087;-63.0406097723028
19748;-41.9315228185699;-62.1938946984072
19788;-41.0610009405348;-61.3444272276949
19804;-40.1824396837427;-60.4885021141023
19852;-39.2895485710274;-59.625160473807
19893;-38.3834295853593;-58.7548193221951
19921;-37.4712331418851;-57.8785261300058
